Year,Month,Day,CA Avg,US Avg
2016,1,18,2.767,2.022
2016,1,11,2.897,2.104
2016,1,4,2.93,2.135
2015,12,28,2.879,2.141
2015,12,21,2.789,2.133
2015,12,14,2.706,2.144
2015,12,7,2.729,2.159
2015,11,30,2.743,2.165
2015,11,23,2.767,2.198
2015,11,16,2.833,2.281
2015,11,9,2.877,2.335
2015,11,2,2.873,2.322
2015,10,26,2.899,2.326
2015,10,19,2.912,2.374
2015,10,12,2.966,2.432
2015,10,5,3.001,2.415
2015,9,28,3.047,2.418
2015,9,21,3.124,2.425
2015,9,14,3.208,2.471
2015,9,7,3.32,2.532
2015,8,31,3.397,2.602
2015,8,24,3.537,2.726
2015,8,17,3.638,2.803
2015,8,10,3.619,
2015,8,3,3.781,2.779
2015,7,27,3.869,2.833
2015,7,20,3.954,2.888
2015,7,13,3.939,
2015,7,6,3.484,2.877
2015,6,29,3.502,2.885
2015,6,22,3.531,2.895
2015,6,15,3.562,2.918
2015,6,8,3.643,2.863
2015,6,1,3.743,2.863
2015,5,25,3.811,2.857
2015,5,18,3.859,2.827
2015,5,11,3.781,2.776
2015,5,4,3.764,2.749
2015,4,27,3.483,2.656
2015,4,20,3.207,
2015,4,13,3.153,2.494
2015,4,6,3.2,2.499
2015,3,30,3.258,2.531
2015,3,23,3.316,2.538
2015,3,16,3.41,2.537
2015,3,9,3.489,
2015,3,2,3.468,2.556
2015,2,23,3.009,2.415
2015,2,16,2.847,2.358
2015,2,9,2.676,2.276
2015,2,2,2.491,2.154
2015,1,26,2.489,2.133
2015,1,19,2.532,2.157
2015,1,12,2.643,2.232
2015,1,5,2.721,2.308
2014,12,29,2.728,2.392
2014,12,22,2.8,2.496
2014,12,15,2.928,2.643
2014,12,8,3.028,2.767
2014,12,1,3.097,2.864
2014,11,24,3.122,2.907
2014,11,17,3.2,2.978
2014,11,10,3.266,3.025
2014,11,3,3.348,3.077
2014,10,27,3.44,3.139
2014,10,20,3.538,3.205
2014,10,13,3.647,3.292
2014,10,6,3.714,3.382
2014,9,29,3.741,3.434
2014,9,22,3.775,3.432
2014,9,15,3.833,3.485
2014,9,8,3.863,3.534
2014,9,1,3.891,3.536
2014,8,25,3.925,3.532
2014,8,18,3.946,3.549
2014,8,11,3.974,3.582
2014,8,4,4.0,3.595
2014,7,28,4.041,3.617
2014,7,21,4.083,3.671
2014,7,14,4.138,3.712
2014,7,7,4.177,3.753
2014,6,30,4.18,3.778
2014,6,23,4.151,3.778
2014,6,16,4.151,
2014,6,9,4.155,3.749
2014,6,2,4.176,3.765
2014,5,26,4.184,
2014,5,19,4.208,3.743
2014,5,12,4.218,3.746
2014,5,5,4.271,3.761
2014,4,28,4.302,3.788
2014,4,21,4.254,3.758
2014,4,14,4.206,3.725
2014,4,7,4.077,
2014,3,31,4.045,3.651
2014,3,24,4.019,3.622
2014,3,17,4.007,3.619
2014,3,10,3.946,3.584
2014,3,3,3.904,3.553
2014,2,24,3.844,
2014,2,17,3.747,3.457
2014,2,10,3.675,3.388
2014,2,3,3.639,3.372
2014,1,27,3.63,3.375
2014,1,20,3.638,3.376
2014,1,13,3.683,3.406
2014,1,6,3.714,3.411
2013,12,30,3.695,3.409
2013,12,23,3.642,3.351
2013,12,16,3.621,3.321
2013,12,9,3.629,
2013,12,2,3.624,3.353
2013,11,25,3.595,3.372
2013,11,18,3.608,3.298
2013,11,11,3.65,3.274
2013,11,4,3.711,3.343
2013,10,28,3.765,3.372
2013,10,21,3.812,3.435
2013,10,14,3.84,
2013,10,7,3.898,3.441
2013,9,30,3.98,3.499
2013,9,23,4.052,3.567
2013,9,16,4.096,3.619
2013,9,9,3.947,3.658
2013,9,2,3.87,3.678
2013,8,26,3.85,3.623
2013,8,19,3.878,3.622
2013,8,12,3.949,3.633
2013,8,5,3.999,3.701
2013,7,29,4.05,3.716
2013,7,22,4.083,3.751
2013,7,15,4.064,3.706
2013,7,8,4.033,3.563
2013,7,1,4.051,3.567
2013,6,24,4.122,3.645
2013,6,17,4.036,3.689
2013,6,10,4.016,3.715
2013,6,3,4.024,3.705
2013,5,27,4.068,3.704
2013,5,20,4.094,3.729
2013,5,13,4.087,3.665
2013,5,6,3.956,3.602
2013,4,29,3.952,3.587
2013,4,22,3.981,3.603
2013,4,15,4.039,3.611
2013,4,8,4.081,3.676
2013,4,1,4.1,3.714
2013,3,25,4.117,3.746
2013,3,18,4.169,3.764
2013,3,11,4.221,3.779
2013,3,4,4.26,3.826
2013,2,25,4.26,3.851
2013,2,18,4.203,3.812
2013,2,11,4.092,3.677
2013,2,4,3.952,3.604
2013,1,28,3.723,3.427
2013,1,21,3.677,3.386
2013,1,14,3.661,3.377
2013,1,7,3.652,3.373
2012,12,31,3.601,3.369
2012,12,24,3.554,3.328
2012,12,17,3.573,3.324
2012,12,10,3.667,3.419
2012,12,3,3.743,3.463
2012,11,26,3.794,3.505
2012,11,19,3.831,3.497
2012,11,12,3.904,3.518
2012,11,5,4.043,3.563
2012,10,29,4.216,3.638
2012,10,22,4.479,3.756
2012,10,15,4.669,3.886
